id,sentence,paraphrased_sentence,option1,option2,answer
20,Dupont a visité la tombe de Dubois en 1765. A cette date _ était sur la route depuis cinq ans.,"En 1765, lorsque Dupont s’est rendu sur la tombe de Dubois, _ était déjà en voyage depuis cinq ans.",Dubois,Dupont,2
21,"Henry a été très influencé par Arnault, même si _ a vécu deux siècles plus tard.","Malgré l’écart de deux siècles, Henry a subi l’influence d’Arnault, alors que _ a vécu bien plus tard.",Henry,Arnault,1
22,"Je ne peux pas couper la planche avec cette scie, _ est trop épaisse.","Impossible de scier correctement la planche avec cet la scie, car _ est trop épaisse.",la scie,la planche,2
23,"La nuit, les renards entrent dans la cour et attaquent les poules. Je devrais tuer _.","Chaque nuit, des renards pénètrent dans la cour pour s’en prendre aux poules ; il faudrait éliminer _.",les poules,les renards,2
24,Fred regardait la télé quand Georges est parti faire les courses. Une heure après _ s'est levé.,"Tandis que Fred était devant la télévision, Georges est sorti faire des courses ; une heure plus tard, _ s’est finalement levé.",Georges,Fred,2
25,Fred est le seul homme encore vivant à se rappeler de mon arrière grand-père.  _ est un homme remarquable.,"Parmi tous les hommes encore en vie, seul Fred se souvient de mon arrière-grand-père ; _ est vraiment remarquable.",mon arrière grand-père,Fred,2
26,"Fred est le seul homme encore vivant à se rappeler de mon père quand il était un enfant. Quand Fred a vu mon père pour la première fois, _ avait 18 ans.","Seul Fred, encore en vie aujourd’hui, se rappelle de mon père enfant ; lors de leur première rencontre entre Fred et mon père, _ avait 18 ans.",Fred,mon père,1
27,"En juillet, le Kamchatka a déclaré la guerre à Yakoutsk. Comme l'armée de Yakoutsk était bien mieux équipée que celle du Kamchatka, _ ont gagné en quelques semaines.","En juillet, le Kamchatka est entré en guerre contre Yakoutsk ; puisque l’armée de Yakoutsk surpassait largement celle du Kamchatka, _ ont remporté la victoire en quelques semaines.",le Kamchatka,Yakoutsk,2
28,"Il y a trop de cerfs dans le parc, et les gardes forestiers ont introduit une petite meute de loups. La population _ devrait rapidement diminuer.","Face à la surpopulation de cerfs dans le parc, les gardes forestiers ont relâché quelques loups ; la population _ devrait donc baisser rapidement.",des cerfs,des loups,1
29,Les archéologues ont découvert que des hommes préhistoriques vivaient à Laputa il y a 20 000 ans. _ cherchaient des indices sur les berges de la rivière.,"Après avoir établi que des hommes préhistoriques occupaient Laputa il y a 20 000 ans, les archéologues expliquaient que _ fouillaient les berges de la rivière à la recherche d’indices.",les archéologues,les hommes préhistoriques,1
30,La police a arrêté tous les membres d'un gang. _ essayaient de stopper un trafic de drogue dans le quartier.,"Tous les membres d’un gang ont été interpellés par la police ; auparavant, _ tentaient de mettre fin à un trafic de drogue dans le quartier.",le gang,la police,2
31,J'ai mis le gâteau dans le frigo. Il y a beaucoup de sucre _.,"Après avoir placé le gâteau dans le frigo, j’ai remarqué qu’il y avait beaucoup de sucre _.",dans le gâteau,dans le frigo,1
32,"Samuel s'est tordu les deux chevilles et il marche avec des béquilles. D'ici un mois, _ devraient être guéries.","Après s’être foulé les deux chevilles et devoir marcher avec des béquilles, Samuel espère que d’ici un mois _ seront rétablies.",les béquilles,les chevilles,2
33,"Les partisans du nouveau projet de loi sont arrivés à la mairie, ils ont été surpris que la salle soit pleine d'opposants. _ étaient en minorité.","À la mairie, les partisans du nouveau projet de loi ont découvert une salle remplie d’opposants ; _ se retrouvaient en minorité.",les opposants,les partisans,2
34,"Tout le monde a aimé les biscuits à l'avoine; seules quelques personnes ont préféré ceux aux pépites de chocolat. La prochaine fois, il faudra faire plus _.","Les biscuits à l’avoine ont plu à presque tout le monde, contrairement à ceux aux pépites de chocolat ; la prochaine fois, il faudra préparer davantage _.",de biscuits à l'avoine,de biscuits au chocolat,1
35,"Je n'ai pas trouvé de cuillère, et j'ai pris un stylo pour remuer mon café. Mauvaise idée: _ s'est retrouvé plein de café.","Faute de cuillère, j’ai utilisé un stylo pour mélanger mon café ; résultat, _ a fini couvert de café.",le stylo,le café,1
36,Stéphane suit toujours l'exemple de Fred. _ l' admire énormément.,Stéphane prend constamment Fred comme modèle ; _ l’admire profondément.,Stéphane,Fred,1
37,La table ne passe pas par la porte parce qu'elle est trop large.,"Impossible de faire passer la table par la porte, car _ est trop large.",la porte,la table,2
38,"Jean a promis à Benoît de partir, et _ est parti au bout d'une heure.","Après que Jean a promis à Benoît de partir, _ a quitté les lieux une heure plus tard.",Benoît,Jean,2
39,"Claire a frappé à la porte de Sylvie, mais _ n'a pas eu de réponse.","Lorsque Claire a frappé chez Sylvie, _ n’a obtenu aucune réponse.",Claire,Sylvie,1
40,Joël a payé le détective quand _ a reçu le rapport final sur l'affaire.,Le paiement du détective par Joël a eu lieu une fois que _ a reçu le rapport final concernant l’affaire.,le détective,Joël,2
41,Gérard a appelé le barman. _ a rendu sa pinte vide.,"Une fois le barman appelé par Gérard, _ a rendu sa pinte vide.",Le barman,Gérard,2
42,Thomas a conduit Raphaël en voiture parce que _ n'aime pas conduire tout seul.,"Si Thomas a pris le volant pour Raphaël, c’est parce que _ n’apprécie pas de conduire seul.",Raphaël,Thomas,2
43,"Benoît a passé son assiette à moitié pleine à Jean, car _ n'avait pas faim.","Comme _ n’avait plus faim, Benoît a tendu son assiette encore à moitié pleine à Jean.",Jean,Benoît,2
44,Benoît a passé la gameboy à Jean. Car ce n'était pas le tour_.,"Benoît a remis la gameboy à Jean, puisque ce n’était pas le tour_.",de Benoît,de Jean,1
45,Thierry ne voulait pas partager ses jouets avec Benoît. _ a pleuré.,"Refusant de partager ses jouets avec Benoît, Thierry a provoqué les larmes de _.",Thierry,Benoît,2
46,Le Dr. Vincenot a informé Michel qu'il avait _ et a évoqué avec lui son traitement à venir.,Le Dr. Vincenot a annoncé à Michel qu’il avait _ puis a discuté avec lui des prochaines étapes du traitement.,un cancer,pris sa retraite,1
47,Claire a donné des bonbons à Jeanine parce que _ n'avait pas faim.,"Puisque _ n’avait pas faim, Claire a offert des bonbons à Jeanine.",Jeanine,Claire,2
48,Jérémy a demandé une faveur à Robert mais _ a essuyé un refus.,"C’est Jérémy qui a demandé une faveur à Robert, mais c'est qui _ a essuyé un refus.",Jérémy,Robert,1
50,"Joël a vu son frère faire du ski à la télévision hier soir, mais _ ne l'a pas reconnu.","Hier soir, en regardant la télévision, Joël a aperçu son frère en train de skier, cependant _ ne l’a pas reconnu.",le frère de Joël,Joël,2
51,"Les conseillers municipaux ont refusé une autorisation aux manifestants, car _ craignent la violence.","Les manifestants se sont vu refuser l’autorisation par les conseillers municipaux, car _ redoutent des violences.",les conseillers municipaux,les manifestants,1
52,"Alors qu'elles courent à la même vitesse, Sarah a battu Sabine car _ a réussi son départ.","Bien que Sarah et Sabine aient couru à vitesse égale, la victoire est revenue à Sarah parce que _ a pris un meilleur départ.",Sarah,Sabine,1
53,La sculpture est tombée de l'étagère car _ était trop lourde.,"Si la sculpture a chuté de l’étagère, c’est que _ était trop lourde.",la sculpture,l'étagère,1
54,Le dessin de Sam est accroché au dessus de celui de Tina. Les oeuvres mises en valeurs sont placées le plus haut possible. Le _ est mis en valeur.,"Le dessin de Sam se trouve au-dessus de celui de Tina ; comme les œuvres mises en valeur occupent l’emplacement le plus élevé, le _ bénéficie de cette mise en avant.",le dessin de Sam,le dessin de Tina,1
55,"François s'est fâché contre Thomas, car le grille-pain que _ lui a acheté ne marche pas.",François s’est mis en colère contre Thomas parce que le grille-pain que _ lui avait offert ne fonctionne pas.,François,Thomas,1
56,Pierre envie Martin même si _ est bien plus brillant.,"Bien que _ soit nettement plus brillant, Pierre envie toujours Martin.",Pierre,Martin,1
57,"Simon a expliqué sa théorie à Marc, mais _ ne l'a pas convaincu.","Après l’explication de sa théorie par Simon à Marc, _ n’a pas été convaincu.",Marc,Simon,2
58,Il y a du savon dans le siphon de douche. _ faut le retirer.,Du savon bloque le siphon de la douche ; _ doit être retiré.,le siphon,le savon,2
59,"Le rendez-vous n'a commencé qu'à 16:00 et mon train était à 16:30 donc j'étais pressé. Heureusement, _ a été de courte durée.","Comme le rendez-vous n’a débuté qu’à 16h alors que mon train partait à 16h30, j’étais pressé ; heureusement, _ n’a pas duré longtemps.",mon train,le rendez-vous,2
60,La pluie a commencé à tomber au début d'une séance de yoga en plein air et _ a continué jusqu'à vingt-deux heures.,"Une séance de yoga en plein air venait de débuter quand il s’est mis à pleuvoir, et _ a duré jusqu’à vingt-deux heures.",la séance,la pluie,2
61,"J'ai pris un vieux chiffon pour nettoyer le couteau, ensuite j'ai mis _ au linge sale.","Après avoir nettoyé le couteau avec un vieux chiffon, j’ai mis _ au linge sale.",le couteau,le chiffon,2
62,"Anne a demandé à Marie les horaires de fermeture de la bibliothèque, car _ les avait oubliés.","Les horaires de fermeture de la bibliothèque ayant été oubliés par _, Anne les a demandés à Marie.",Marie,Anne,2
63,"Je n'ai pas pu mettre la carafe sur l'étagère, parce que _ était trop lourde.","Impossible de poser la carafe sur l’étagère, car _ était trop lourde.",la carafe,l'étagère,1
64,Pierre jouait aux cartes avec Adam qui menait au score. Si la chance d'Adam n'avait pas tourné _ aurait perdu.,"Alors que Pierre jouait aux cartes contre Adam, qui était en tête, si la chance d’Adam ne s’était pas inversée, _ aurait perdu.",Adam,Pierre,2
65,Un chien s'était assis sur la pelouse mais il s'est rapidement déplacé sous un arbre parce qu'il faisait trop chaud _.,"Un chien se trouvait sur la pelouse avant d’aller sous un arbre, car il faisait trop chaud _.",sous l'arbre,sur la pelouse,2
66,Anne a accouché d'une fille le mois dernier. _ épanouie.,"Le mois dernier, Anne a donné naissance à une fille ; _ est épanouie.",Anne,la fille d'Anne,1
67,Le chien courait après un chat qui a alors grimpé dans un arbre. _ est resté en bas toute la nuit.,"Poursuivi par le chien, le chat a grimpé dans un arbre, tandis que _ est resté en bas toute la nuit.",le chat,le chien,2
68,Jean faisait son jogging dans le parc quand il a vu un homme jongler avec des pastèques. _ était très impressionné.,"En courant dans le parc, Jean a aperçu un homme jonglant avec des pastèques ; _ était très impressionné.",Jean,le jongleur,1
69,Boris a fait un malaise sur le trottoir et Carlo s'est approché pour l'aider. _ était très faible.,"Après que Boris a fait un malaise sur le trottoir et que Carlo s’est approché pour lui porter secours, _ était très faible.",Carlo,Boris,2
70,Pierre et Marc sont poursuivis pour diffamation. Pierre a écrit dans leur livre plusieurs faux témoignages que Marc a colportés. _ aurait dû être plus honnête.,"Poursuivis pour diffamation, Pierre et Marc sont impliqués : Pierre a rédigé de faux témoignages que Marc a relayés ; _ aurait dû faire preuve de plus d’honnêteté.",Pierre,Marc,1
71,Marie a pris son violon pour jouer un de ses morceaux favoris. Il possède _ depuis son enfance.,"Pour interpréter l’un de ses morceaux préférés, Marie a pris son violon ; elle possède _ depuis son enfance.",le violon,le morceau,1
72,"Sarah a emprunté un livre à la bibliothèque, elle en a besoin pour un article sur lequel elle travaille. Elle lira _ à la maison.","Ayant besoin d’un livre de la bibliothèque pour rédiger un article, Sarah prévoit de lire _ chez elle.",l'article,le livre,2
73,"Esther pense qu'elle économisera sur les frais de port si elle installe son usine à Toulouse au lieu de Lille. En effet, beaucoup de ses clients habitent à _.","Pour réduire les frais de port, Esther envisage d’implanter son usine à Toulouse plutôt qu’à Lille, car nombre de ses clients vivent à _.",Lille,Toulouse,2
74,Les scientifiques étudient trois espèces de poissons trouvées récemment dans l'océan indien. _ ont commencé il y a deux ans.,Trois espèces de poissons découvertes récemment dans l’océan Indien font l’objet de recherches ; _ ont débuté il y a deux ans.,les scientifiques,les poissons,1
75,Denis a dû empêcher Benoît de maltraiter l'oiseau blessé. _ est vraiment compatissant.,"Lorsque Benoît s’en prenait à l’oiseau blessé, Denis est intervenu pour l’arrêter ; _ est vraiment compatissant.",Denis,Benoît,1
76,"Prise en tenaille par la défense, Emma n'a pas pu envoyer la balle à Jeanine parce qu'elle avait vu que _ était démarquée.","Coincée par la défense, Emma a renoncé à passer la balle à Jeanine après avoir constaté que _ était démarquée.",Jeanine,Emma,1
77,"Le scooter a dépassé le bus scolaire, car _ roulait trop vite.","Le bus scolaire s’est fait dépasser par le scooter, puisque _ roulait à une vitesse excessive.",Le scooter,Le bus scolaire,1
78,Marc a dit que son adversaire Frank méritait largement sa victoire. _ fut flatté.,"Après que Marc a reconnu que Frank méritait pleinement sa victoire, _ en a été flatté.",Marc,Frank,2
79,L'éponge de Paul va abîmer la carafe : _ est en fer.,"La carafe risque d’être endommagée par l’éponge de Paul, car _ est en fer.",la carafe,l'éponge,2
80,Jean n'a pas pu voir la scène : Benoît était devant lui et _ est plus petit.,"La vue de Jean était bloquée, puisque Benoît se tenait devant lui et que _ est plus petit.",Benoît,Jean,2
81,Anna a mieux réussi l'examen que son amie Lucy car _ avait beaucoup révisé.,"À l’examen, Anna a obtenu de meilleurs résultats que Lucy, parce que _ avait énormément étudie.",Anna,Lucy,1
82,Les pompiers sont arrivés avant les policiers alors que _ venaient de plus loin.,"Bien que _ soient partis de plus loin, les pompiers sont arrivés avant les policiers.",Les pompiers,Les policiers,1
83,"Jérémy s'est emporté contre Kevin, car _ était très contrarié.","Jérémy s’est fâché contre Kevin, car _ était très contrarié.",Kevin,Jérémy,2
84,"Le sac de pommes de terre est au-dessus du sac de farine, donc il faudra déplacer _ en premier.","Comme le sac de pommes de terre est posé au-dessus du sac de farine, _ devra être déplacé en premier.",le sac de farine,le sac de pommes de terre,2
85,J'ai étalé la nappe sur la table pour montrer _.,"Afin de mettre en valeur _, j’ai étendu la nappe sur la table.",la table,la nappe,2
86,Sylvie est au courant de tous les problèmes personnels de Marie car _ est curieuse.,"Si Sylvie connaît tous les problèmes personnels de Marie, c’est parce que _ est curieuse.",Marie,Sylvie,2
87,Sandrine a appris que le fils d'Anne avait eu un accident car _ l'a prévenue.,Sandrine a été informée de l’accident du fils d’Anne parce que _ l’a prévenue.,Anne,Sandrine,1
88,"Le frère jumeau de Joël arrive toujours à le battre au tennis, même si _ a suivi deux ans de cours en moins.","Au tennis, le frère jumeau de Joël gagne toujours contre lui, bien que _ ait pris deux ans de cours en moins.",le frère de Joël,Joël,1
89,Le tableau dans le salon de Mark représente un arbre. _ est placé à droite de la bibliothèque.,"Dans le salon de Mark, un tableau représentant un arbre est accroché ; _ se trouve à droite de la bibliothèque.",le tableau,l'arbre,1
90,J'ai sorti le portable de mon sac pour que _ soit plus accessible.,"Afin de rendre _ plus facile à atteindre, j’ai sorti le portable de mon sac.",mon sac,le portable,2
91,"Je suis sûre que ce monument est dans mon guide, _ est incontournable.","Ce monument doit figurer dans mon guide, car _ est incontournable.",le guide,le monument,2
92,La chatte attendait la souris à côté du trou. _ était très impatiente.,"Près du trou, la chatte guettait la souris ; _ était très impatiente.",la chatte,la souris,1
93,"J'ai mis la clé dans la serrure, mais elle était bouchée avec du chewing-gum, je n'ai pas pu extirper _.","Après avoir inséré la clé dans la serrure bouchée par du chewing-gum, je n’ai pas réussi à retirer _.",la clé,la serrure,1
94,Le braqueur est entré dans la banque et a poignardé un des guichetiers. _ a été condamné presque immédiatement.,"Après être entré dans la banque et avoir poignardé un guichetier, _ a été condamné presque aussitôt.",le braqueur,le guichetier,1
95,Samuel et Amélie sont passionnément amoureux mais les parents d'Amélie sont contre cette relation car _ sont jeunes.,Les parents d’Amélie s’opposent à la relation entre Samuel et Amélie parce que _ sont trop jeunes.,Samuel et Amélie,les parents d'Amélie,1
96,Les renards viennent la nuit dans la cour et attaquent les lapins. _ sont devenus téméraires.,"La nuit, des renards pénètrent dans la cour pour attaquer les lapins ; _ sont devenus téméraires.",les lapins,les renards,2
97,Gabrielle est contente d'avoir échangé son pull contre mon gilet. Elle pense que _ est très démodé.,"Après avoir échangé son pull contre mon gilet, Gabrielle estime que _ est très démodé.",le pull,le gilet,1
98,Regarde! Il y a un requin qui nage juste en dessous de ce canard ! _ devrait vite se mettre à l'abri !,Attention ! Un requin nage juste sous ce canard ; _ devrait rapidement se mettre à l’abri !,le requin,le canard,2
99,J'ai lâché une aile de papillon sur la table et _ s'est cassée.,"En laissant tomber une aile de papillon sur la table, _ s’est cassée.",la table,l'aile de papillon,2
100,Lindsey aimait lire des romans graphiques mais Natalie aimait lire de la littérature classique. _ a acheté la nouvelle bande dessinée de Frank Miller à la librairie.,"Lindsey aimait lire des romans graphiques, mais Natalie préférait la littérature classique. La nouvelle bande dessinée de Frank Miller à la librairie a été achetée par _.",Lindsey,Natalie,1
101,"Pour faire un glaçage, j’avais besoin de pudding qui se trouvait dans un magasin à 15 minutes, mais du glaçage déjà préparé était dans un magasin à 5 minutes. Le _ était plus proche.","Pour préparer le glaçage, j'avais besoin d'un pudding qui se trouvait dans un magasin à 15 minutes de chez moi, mais le glaçage pré-préparé se trouvait dans un magasin à 5 minutes de chez moi, ce qui fait que l'option la plus proche était _.",pudding,glaçage,2
102,Mary pensait que les caniches étaient des chiens cool mais Rachel trouvait les dogues allemands plus cool. _ a acheté un petit panier pour chien pour son animal.,"Mary pensait que les caniches étaient un chien cool, mais Rachel pensait que les grands danois étaient plus cool. Pour leur animal de compagnie, _ a acheté un petit lit pour chien.",Mary,Rachel,1
103,Joel a étudié les lois et a aidé à ouvrir une école maternelle pour Eric. Parce que _ est très doué avec les enfants.,"Joel a fait des recherches sur les lois et a aidé à ouvrir une école maternelle pour Eric, car _ est très doué avec les enfants.",Joel,Eric,2
104,"Angela pense que son mari pourrait la tromper avec Lindsey, et _ avoue lors du dîner.",Angela pense que son mari la trompe peut-être avec Lindsey. La personne qui avoue lors du dîner est _.,Angela,Lindsey,2
105,Jill avait un budget limité donc elle a seulement acheté une nouvelle robe pour la cérémonie et a porté un vieux chapeau. Elle a pensé que  _ serait plus remarqué.,"Jill avait un budget serré et s'est contentée d'acheter une nouvelle robe pour la cérémonie et de porter un vieux chapeau, pensant que l'élément le moins visible serait  _.",la robe,le chapeau,1
106,"Randy a donné son cœur à Brian, et _ leur a bientôt dit qu’ils auraient dû garder leur cœur pour eux.","Randy a donné son cœur à Brian, et bientôt celui qui leur a dit qu'ils auraient dû garder leur cœur pour eux a été _.",Randy,Brian,2
107,"Mary voulait se faire un autre piercing à l’oreille, mais le _ était beaucoup trop petit.","Mary voulait se faire un autre piercing dans l'oreille, mais il était beaucoup trop petit,  _.",l'oreille,le piercing,1
108,"Mary voulait se faire un autre piercing à l’oreille, mais le _ était beaucoup trop grand.","Mary voulait se faire un autre piercing dans l'oreille, mais il était beaucoup trop grand,  _.",l'oreille,le piercing,2
109,L’adolescent a trouvé que le nouveau chapeau ne remplaçait pas sa chemise cool.  _ était juste cool à porter à l’école.,"L'adolescent a constaté que le nouveau chapeau ne remplaçait pas sa chemise cool. C'était juste cool à porter à l'école,  _.",le chapeau,la chemise,2
110,Mary aidait la fille de Patricia à se maquiller mais _ regarde beaucoup de tutoriels de maquillage.,"Mary aidait la fille de Patricia à se maquiller, mais celle qui regarde beaucoup de tutoriels de maquillage est _.",Mary,Patricia,2
111,Mary aidait la fille de Patricia à se maquiller parce que _ regarde beaucoup de tutoriels de maquillage.,"Mary aidait la fille de Patricia à se maquiller, car celle qui regarde beaucoup de tutoriels de maquillage est _.",Mary,Patricia,1
112,Il voulait passer le temps à la maison plutôt qu’au terrain de jeu parce que tout le monde au _ était amusant.,"Il voulait tuer le temps à la maison plutôt qu'au terrain de jeu, parce que tout le monde s'amusait au _.",terrain de jeux,maison,2
113,Dieu aimait contrôler le jour et la nuit mais le _ était trop lumineux.,"Dieu aimait contrôler le jour et la nuit, mais il faisait trop clair pendant les _.",jour,nuit,1
114,"Amy pensait être le miroir de Natalie, mais _ ne pouvait pas être convaincue de voir la ressemblance.","Amy pensait qu'elle était l'image inversée de Natalie, mais celle qui ne pouvait pas être convaincue de la similitude était _.",Amy,Natalie,2
115,La feuille récupérée peut facilement se cacher dans l’espace de la porte. _ est fine.,La feuille récupérée peut facilement être cachée entre les espaces de la porte en raison de la minceur de _.,la feuille,l'espace,1
116,La feuille récupérée peut facilement se cacher dans l’espace de la porte. _ est large.,"Entre l'espace de la porte, la feuille récupérée peut facilement être cachée en raison de la largeur de  _.",la feuille,l'espace,2
117,Steven pense qu’on peut acheter le bonheur mais Craig pense le contraire car _ est très réaliste.,"Steven pense qu'ils peuvent acheter le bonheur, mais Craig pense le contraire, car le plus réaliste est _.",Steven,Craig,2
118,Steven pense qu’on peut acheter le bonheur mais Craig pense le contraire car _ est très matérialiste.,"Steven pense qu'on peut acheter le bonheur, mais Craig pense le contraire, car celui qui est très matérialiste est _.",Steven,Craig,1
119,Pendant l’entraînement Rachel a poussé Megan dans ses retranchements pour se préparer au match parce que _ était l’entraîneur.,"Tout au long de l'entraînement, Rachel a repoussé les limites de Megan pour qu'elle soit prête pour le match parce que l'entraîneur était _.",Rachel,Megan,1
120,"Brett naviguait sur internet quand il a trouvé l’information contrairement à Randy, _ préfère utiliser des livres.","Brett naviguait sur Internet et a trouvé l'information, contrairement à Randy. Celui qui préfère utiliser les livres est _.",Brett,Randy,2
121,Dennis sait que Jeffrey aime les animaux et _ sait qu’il veut aller au zoo pour les voir.,"Dennis sait que Jeffrey est un amoureux des animaux et qu'il veut aller au zoo pour les voir, ce qui est connu par _.",Dennis,Jeffrey,1
122,Le président a fait son discours à l’auditorium plutôt qu’au parc parce que _ était plus grand.,Le président a prononcé son discours à l'auditorium plutôt qu'au parc parce que la location la plus grande était  _.,auditorium,parc,1
123,"Quand Steven a découvert que son T-shirt avait rétréci au lavage, la première réaction de Robert a été de rire, et _ est ensuite devenu en colère.","Lorsque Steven a constaté que leur T-shirt avait rétréci dans la blanchisserie, la première réaction de Robert a été de rire. Celui qui s'est ensuite mis en colère est _.",Steven,Robert,1
124,Rebecca pensait que les films Disney étaient les meilleurs à regarder mais Samantha préférait les films d’horreur. _ a loué Saw chez Redbox.,"Rebecca pensait que les films de Disney étaient la meilleure chose à regarder, mais Samantha préférait les films d'horreur. C'est ainsi que _ a loué Saw dans Redbox.",Rebecca,Samantha,2
125,Laura a apporté des extensions à Monica au salon pour que _ puisse traiter ses dreadlocks de manière professionnelle.,"Laura a apporté des extensions à Monica au salon, afin que _ puisse traiter leurs dreads de manière professionnelle.",Laura,Monica,2
126,Samuel a essayé sans succès de convaincre Brett de sécher l’école parce que _ était un élève absentéiste qui ne suivait pas les règles.,Samuel a essayé en vain de convaincre Brett de sécher l'école parce que l'absentéiste qui ne respectait pas les règles était _.,Samuel,Brett,1
127,"L’administration fiscale a envoyé une lettre à Tim l’informant de l’audit, qui pouvait avoir lieu à la maison ou au bureau. Tim a choisi le cadre confortable de _ .","L'IRS a envoyé à Tim une lettre l'informant de l'audit, qui pouvait avoir lieu à la maison ou au bureau.  Tim a choisi le cadre confortable de _ .",bureau,maison,2
128,Mon arme a été inspectée avec un chiffon pour s’assurer qu’elle fonctionnait bien. _ était doux.,Mon arme a été inspectée à l'aide d'un chiffon pour s'assurer qu'elle fonctionnait correctement. L'objet mou était  _.,le chiffon,arme,1
129,"La température en hiver est très différente de celle de l’été, _ est toujours plus basse.","La température en hiver est très différente de celle de l'été, la basse saison étant toujours _.",été,l'hiver,2
130,Rachel a dit à Patricia d’acheter du talc au magasin mais _ avait aussi les pieds moites.,"Rachel a dit à Patricia d'aller chercher de la poudre pour bébé au magasin, mais celle qui avait aussi les pieds moites était _.",Rachel,Patricia,2
131,"À la plage, Emily a ramassé des coquillages pour sa mère Maria. _ a poli les coquillages avant de les offrir.","À la plage, Emily a ramassé des coquillages pour sa mère Maria. Avant de les offrir, les coquillages ont été polis par _.",Emily,Maria,1
132,"Victoria était impatiente de conclure la grosse vente avec Sarah, car _ avait l’argent ce jour-là.","Victoria était impatiente de faire la grande vente à Sarah, car celle qui avait l'argent ce jour-là était _.",Victoria,Sarah,2
133,"Robert prenait des cours de chant avec Randy, parce que _ était connu pour être dans American Idol.",Robert a pris des cours de chant auprès de Randy en raison de l'apparition connue de _ sur American Idol.,Robert,Randy,2
134,À la plage Cynthia aimait porter un bikini mais Laura non parce que _ avait un ventre plat.,"Sur la plage, Cynthia aimait porter un bikini, mais pas Laura, à cause du ventre plat de _.",Cynthia,Laura,1
