id,sentence,paraphrased_sentence,option1,option2,answer,filled_1,filled_2,pred,score1,score2,correct
29,Les archéologues ont découvert que des hommes préhistoriques vivaient à Laputa il y a 20 000 ans. _ cherchaient des indices sur les berges de la rivière.,"Après avoir établi que des hommes préhistoriques occupaient Laputa il y a 20 000 ans, les archéologues expliquaient que _ fouillaient les berges de la rivière à la recherche d’indices.",les archéologues,les hommes préhistoriques,1,Les archéologues ont découvert que des hommes préhistoriques vivaient à Laputa il y a 20 000 ans. les archéologues cherchaient des indices sur les berges de la rivière.,Les archéologues ont découvert que des hommes préhistoriques vivaient à Laputa il y a 20 000 ans. les hommes préhistoriques cherchaient des indices sur les berges de la rivière.,1,-344.3977222442627,-365.4877061843872,1
30,La police a arrêté tous les membres d'un gang. _ essayaient de stopper un trafic de drogue dans le quartier.,"Tous les membres d’un gang ont été interpellés par la police ; auparavant, _ tentaient de mettre fin à un trafic de drogue dans le quartier.",le gang,la police,2,La police a arrêté tous les membres d'un gang. le gang essayaient de stopper un trafic de drogue dans le quartier.,La police a arrêté tous les membres d'un gang. la police essayaient de stopper un trafic de drogue dans le quartier.,1,-270.47746086120605,-270.7092685699463,0
31,J'ai mis le gâteau dans le frigo. Il y a beaucoup de sucre _.,"Après avoir placé le gâteau dans le frigo, j’ai remarqué qu’il y avait beaucoup de sucre _.",dans le gâteau,dans le frigo,1,J'ai mis le gâteau dans le frigo. Il y a beaucoup de sucre dans le gâteau.,J'ai mis le gâteau dans le frigo. Il y a beaucoup de sucre dans le frigo.,2,-208.64942932128906,-208.50651836395264,0
32,"Samuel s'est tordu les deux chevilles et il marche avec des béquilles. D'ici un mois, _ devraient être guéries.","Après s’être foulé les deux chevilles et devoir marcher avec des béquilles, Samuel espère que d’ici un mois _ seront rétablies.",les béquilles,les chevilles,2,"Samuel s'est tordu les deux chevilles et il marche avec des béquilles. D'ici un mois, les béquilles devraient être guéries.","Samuel s'est tordu les deux chevilles et il marche avec des béquilles. D'ici un mois, les chevilles devraient être guéries.",2,-343.20088481903076,-333.00878047943115,1
33,"Les partisans du nouveau projet de loi sont arrivés à la mairie, ils ont été surpris que la salle soit pleine d'opposants. _ étaient en minorité.","À la mairie, les partisans du nouveau projet de loi ont découvert une salle remplie d’opposants ; _ se retrouvaient en minorité.",les opposants,les partisans,2,"Les partisans du nouveau projet de loi sont arrivés à la mairie, ils ont été surpris que la salle soit pleine d'opposants. les opposants étaient en minorité.","Les partisans du nouveau projet de loi sont arrivés à la mairie, ils ont été surpris que la salle soit pleine d'opposants. les partisans étaient en minorité.",1,-343.0968017578125,-343.253870010376,0
34,"Tout le monde a aimé les biscuits à l'avoine; seules quelques personnes ont préféré ceux aux pépites de chocolat. La prochaine fois, il faudra faire plus _.","Les biscuits à l’avoine ont plu à presque tout le monde, contrairement à ceux aux pépites de chocolat ; la prochaine fois, il faudra préparer davantage _.",de biscuits à l'avoine,de biscuits au chocolat,1,"Tout le monde a aimé les biscuits à l'avoine; seules quelques personnes ont préféré ceux aux pépites de chocolat. La prochaine fois, il faudra faire plus de biscuits à l'avoine.","Tout le monde a aimé les biscuits à l'avoine; seules quelques personnes ont préféré ceux aux pépites de chocolat. La prochaine fois, il faudra faire plus de biscuits au chocolat.",2,-406.70580673217773,-385.33093643188477,0
35,"Je n'ai pas trouvé de cuillère, et j'ai pris un stylo pour remuer mon café. Mauvaise idée: _ s'est retrouvé plein de café.","Faute de cuillère, j’ai utilisé un stylo pour mélanger mon café ; résultat, _ a fini couvert de café.",le stylo,le café,1,"Je n'ai pas trouvé de cuillère, et j'ai pris un stylo pour remuer mon café. Mauvaise idée: le stylo s'est retrouvé plein de café.","Je n'ai pas trouvé de cuillère, et j'ai pris un stylo pour remuer mon café. Mauvaise idée: le café s'est retrouvé plein de café.",1,-356.8210859298706,-356.8594903945923,1
36,Stéphane suit toujours l'exemple de Fred. _ l' admire énormément.,Stéphane prend constamment Fred comme modèle ; _ l’admire profondément.,Stéphane,Fred,1,Stéphane suit toujours l'exemple de Fred. Stéphane l' admire énormément.,Stéphane suit toujours l'exemple de Fred. Fred l' admire énormément.,1,-166.18421840667725,-166.23367977142334,1
38,"Jean a promis à Benoît de partir, et _ est parti au bout d'une heure.","Après que Jean a promis à Benoît de partir, _ a quitté les lieux une heure plus tard.",Benoît,Jean,2,"Jean a promis à Benoît de partir, et Benoît est parti au bout d'une heure.","Jean a promis à Benoît de partir, et Jean est parti au bout d'une heure.",2,-197.3584690093994,-196.59610557556152,1
39,"Claire a frappé à la porte de Sylvie, mais _ n'a pas eu de réponse.","Lorsque Claire a frappé chez Sylvie, _ n’a obtenu aucune réponse.",Claire,Sylvie,1,"Claire a frappé à la porte de Sylvie, mais Claire n'a pas eu de réponse.","Claire a frappé à la porte de Sylvie, mais Sylvie n'a pas eu de réponse.",2,-199.09663009643555,-198.64293003082275,0
40,Joël a payé le détective quand _ a reçu le rapport final sur l'affaire.,Le paiement du détective par Joël a eu lieu une fois que _ a reçu le rapport final concernant l’affaire.,le détective,Joël,2,Joël a payé le détective quand le détective a reçu le rapport final sur l'affaire.,Joël a payé le détective quand Joël a reçu le rapport final sur l'affaire.,2,-187.6959457397461,-178.22988891601562,1
41,Gérard a appelé le barman. _ a rendu sa pinte vide.,"Une fois le barman appelé par Gérard, _ a rendu sa pinte vide.",Le barman,Gérard,2,Gérard a appelé le barman. Le barman a rendu sa pinte vide.,Gérard a appelé le barman. Gérard a rendu sa pinte vide.,2,-176.070463180542,-154.96355819702148,1
42,Thomas a conduit Raphaël en voiture parce que _ n'aime pas conduire tout seul.,"Si Thomas a pris le volant pour Raphaël, c’est parce que _ n’apprécie pas de conduire seul.",Raphaël,Thomas,2,Thomas a conduit Raphaël en voiture parce que Raphaël n'aime pas conduire tout seul.,Thomas a conduit Raphaël en voiture parce que Thomas n'aime pas conduire tout seul.,2,-178.96668148040771,-178.92856693267822,1
43,"Benoît a passé son assiette à moitié pleine à Jean, car _ n'avait pas faim.","Comme _ n’avait plus faim, Benoît a tendu son assiette encore à moitié pleine à Jean.",Jean,Benoît,2,"Benoît a passé son assiette à moitié pleine à Jean, car Jean n'avait pas faim.","Benoît a passé son assiette à moitié pleine à Jean, car Benoît n'avait pas faim.",2,-197.65230083465576,-197.3157205581665,1
44,Benoît a passé la gameboy à Jean. Car ce n'était pas le tour_.,"Benoît a remis la gameboy à Jean, puisque ce n’était pas le tour_.",de Benoît,de Jean,1,Benoît a passé la gameboy à Jean. Car ce n'était pas le tourde Benoît.,Benoît a passé la gameboy à Jean. Car ce n'était pas le tourde Jean.,2,-207.57812023162842,-207.32201385498047,0
45,Thierry ne voulait pas partager ses jouets avec Benoît. _ a pleuré.,"Refusant de partager ses jouets avec Benoît, Thierry a provoqué les larmes de _.",Thierry,Benoît,2,Thierry ne voulait pas partager ses jouets avec Benoît. Thierry a pleuré.,Thierry ne voulait pas partager ses jouets avec Benoît. Benoît a pleuré.,2,-146.04776000976562,-145.8333969116211,1
46,Le Dr. Vincenot a informé Michel qu'il avait _ et a évoqué avec lui son traitement à venir.,Le Dr. Vincenot a annoncé à Michel qu’il avait _ puis a discuté avec lui des prochaines étapes du traitement.,un cancer,pris sa retraite,1,Le Dr. Vincenot a informé Michel qu'il avait un cancer et a évoqué avec lui son traitement à venir.,Le Dr. Vincenot a informé Michel qu'il avait pris sa retraite et a évoqué avec lui son traitement à venir.,1,-259.244722366333,-271.40080642700195,1
47,Claire a donné des bonbons à Jeanine parce que _ n'avait pas faim.,"Puisque _ n’avait pas faim, Claire a offert des bonbons à Jeanine.",Jeanine,Claire,2,Claire a donné des bonbons à Jeanine parce que Jeanine n'avait pas faim.,Claire a donné des bonbons à Jeanine parce que Claire n'avait pas faim.,2,-187.2260684967041,-176.8452968597412,1
48,Jérémy a demandé une faveur à Robert mais _ a essuyé un refus.,"C’est Jérémy qui a demandé une faveur à Robert, mais c'est qui _ a essuyé un refus.",Jérémy,Robert,1,Jérémy a demandé une faveur à Robert mais Jérémy a essuyé un refus.,Jérémy a demandé une faveur à Robert mais Robert a essuyé un refus.,1,-176.66886711120605,-177.3731813430786,1
50,"Joël a vu son frère faire du ski à la télévision hier soir, mais _ ne l'a pas reconnu.","Hier soir, en regardant la télévision, Joël a aperçu son frère en train de skier, cependant _ ne l’a pas reconnu.",le frère de Joël,Joël,2,"Joël a vu son frère faire du ski à la télévision hier soir, mais le frère de Joël ne l'a pas reconnu.","Joël a vu son frère faire du ski à la télévision hier soir, mais Joël ne l'a pas reconnu.",2,-271.66387367248535,-241.04520893096924,1
51,"Les conseillers municipaux ont refusé une autorisation aux manifestants, car _ craignent la violence.","Les manifestants se sont vu refuser l’autorisation par les conseillers municipaux, car _ redoutent des violences.",les conseillers municipaux,les manifestants,1,"Les conseillers municipaux ont refusé une autorisation aux manifestants, car les conseillers municipaux craignent la violence.","Les conseillers municipaux ont refusé une autorisation aux manifestants, car les manifestants craignent la violence.",2,-188.92001152038574,-178.1426067352295,0
52,"Alors qu'elles courent à la même vitesse, Sarah a battu Sabine car _ a réussi son départ.","Bien que Sarah et Sabine aient couru à vitesse égale, la victoire est revenue à Sarah parce que _ a pris un meilleur départ.",Sarah,Sabine,1,"Alors qu'elles courent à la même vitesse, Sarah a battu Sabine car Sarah a réussi son départ.","Alors qu'elles courent à la même vitesse, Sarah a battu Sabine car Sabine a réussi son départ.",2,-218.11944103240967,-217.89421939849854,0
53,La sculpture est tombée de l'étagère car _ était trop lourde.,"Si la sculpture a chuté de l’étagère, c’est que _ était trop lourde.",la sculpture,l'étagère,1,La sculpture est tombée de l'étagère car la sculpture était trop lourde.,La sculpture est tombée de l'étagère car l'étagère était trop lourde.,1,-167.2086009979248,-187.80746746063232,1
54,Le dessin de Sam est accroché au dessus de celui de Tina. Les oeuvres mises en valeurs sont placées le plus haut possible. Le _ est mis en valeur.,"Le dessin de Sam se trouve au-dessus de celui de Tina ; comme les œuvres mises en valeur occupent l’emplacement le plus élevé, le _ bénéficie de cette mise en avant.",le dessin de Sam,le dessin de Tina,1,Le dessin de Sam est accroché au dessus de celui de Tina. Les oeuvres mises en valeurs sont placées le plus haut possible. Le le dessin de Sam est mis en valeur.,Le dessin de Sam est accroché au dessus de celui de Tina. Les oeuvres mises en valeurs sont placées le plus haut possible. Le le dessin de Tina est mis en valeur.,1,-372.96995639801025,-382.99746322631836,1
55,"François s'est fâché contre Thomas, car le grille-pain que _ lui a acheté ne marche pas.",François s’est mis en colère contre Thomas parce que le grille-pain que _ lui avait offert ne fonctionne pas.,François,Thomas,1,"François s'est fâché contre Thomas, car le grille-pain que François lui a acheté ne marche pas.","François s'est fâché contre Thomas, car le grille-pain que Thomas lui a acheté ne marche pas.",2,-231.7535219192505,-231.27769947052002,0
56,Pierre envie Martin même si _ est bien plus brillant.,"Bien que _ soit nettement plus brillant, Pierre envie toujours Martin.",Pierre,Martin,1,Pierre envie Martin même si Pierre est bien plus brillant.,Pierre envie Martin même si Martin est bien plus brillant.,1,-114.51501178741455,-115.50321769714355,1
57,"Simon a expliqué sa théorie à Marc, mais _ ne l'a pas convaincu.","Après l’explication de sa théorie par Simon à Marc, _ n’a pas été convaincu.",Marc,Simon,2,"Simon a expliqué sa théorie à Marc, mais Marc ne l'a pas convaincu.","Simon a expliqué sa théorie à Marc, mais Simon ne l'a pas convaincu.",2,-179.05561351776123,-178.79205226898193,1
58,Il y a du savon dans le siphon de douche. _ faut le retirer.,Du savon bloque le siphon de la douche ; _ doit être retiré.,le siphon,le savon,2,Il y a du savon dans le siphon de douche. le siphon faut le retirer.,Il y a du savon dans le siphon de douche. le savon faut le retirer.,1,-177.679461479187,-179.1041259765625,0
59,"Le rendez-vous n'a commencé qu'à 16:00 et mon train était à 16:30 donc j'étais pressé. Heureusement, _ a été de courte durée.","Comme le rendez-vous n’a débuté qu’à 16h alors que mon train partait à 16h30, j’étais pressé ; heureusement, _ n’a pas duré longtemps.",mon train,le rendez-vous,2,"Le rendez-vous n'a commencé qu'à 16:00 et mon train était à 16:30 donc j'étais pressé. Heureusement, mon train a été de courte durée.","Le rendez-vous n'a commencé qu'à 16:00 et mon train était à 16:30 donc j'étais pressé. Heureusement, le rendez-vous a été de courte durée.",1,-396.87668895721436,-417.01459407806396,0
60,La pluie a commencé à tomber au début d'une séance de yoga en plein air et _ a continué jusqu'à vingt-deux heures.,"Une séance de yoga en plein air venait de débuter quand il s’est mis à pleuvoir, et _ a duré jusqu’à vingt-deux heures.",la séance,la pluie,2,La pluie a commencé à tomber au début d'une séance de yoga en plein air et la séance a continué jusqu'à vingt-deux heures.,La pluie a commencé à tomber au début d'une séance de yoga en plein air et la pluie a continué jusqu'à vingt-deux heures.,2,-317.9504585266113,-317.8312349319458,1
61,"J'ai pris un vieux chiffon pour nettoyer le couteau, ensuite j'ai mis _ au linge sale.","Après avoir nettoyé le couteau avec un vieux chiffon, j’ai mis _ au linge sale.",le couteau,le chiffon,2,"J'ai pris un vieux chiffon pour nettoyer le couteau, ensuite j'ai mis le couteau au linge sale.","J'ai pris un vieux chiffon pour nettoyer le couteau, ensuite j'ai mis le chiffon au linge sale.",2,-240.21197700500488,-239.15591526031494,1
62,"Anne a demandé à Marie les horaires de fermeture de la bibliothèque, car _ les avait oubliés.","Les horaires de fermeture de la bibliothèque ayant été oubliés par _, Anne les a demandés à Marie.",Marie,Anne,2,"Anne a demandé à Marie les horaires de fermeture de la bibliothèque, car Marie les avait oubliés.","Anne a demandé à Marie les horaires de fermeture de la bibliothèque, car Anne les avait oubliés.",1,-209.33409214019775,-209.5321559906006,0
63,"Je n'ai pas pu mettre la carafe sur l'étagère, parce que _ était trop lourde.","Impossible de poser la carafe sur l’étagère, car _ était trop lourde.",la carafe,l'étagère,1,"Je n'ai pas pu mettre la carafe sur l'étagère, parce que la carafe était trop lourde.","Je n'ai pas pu mettre la carafe sur l'étagère, parce que l'étagère était trop lourde.",1,-280.17809867858887,-281.9879541397095,1
64,Pierre jouait aux cartes avec Adam qui menait au score. Si la chance d'Adam n'avait pas tourné _ aurait perdu.,"Alors que Pierre jouait aux cartes contre Adam, qui était en tête, si la chance d’Adam ne s’était pas inversée, _ aurait perdu.",Adam,Pierre,2,Pierre jouait aux cartes avec Adam qui menait au score. Si la chance d'Adam n'avait pas tourné Adam aurait perdu.,Pierre jouait aux cartes avec Adam qui menait au score. Si la chance d'Adam n'avait pas tourné Pierre aurait perdu.,1,-280.4253034591675,-280.5081958770752,0
65,Un chien s'était assis sur la pelouse mais il s'est rapidement déplacé sous un arbre parce qu'il faisait trop chaud _.,"Un chien se trouvait sur la pelouse avant d’aller sous un arbre, car il faisait trop chaud _.",sous l'arbre,sur la pelouse,2,Un chien s'était assis sur la pelouse mais il s'est rapidement déplacé sous un arbre parce qu'il faisait trop chaud sous l'arbre.,Un chien s'était assis sur la pelouse mais il s'est rapidement déplacé sous un arbre parce qu'il faisait trop chaud sur la pelouse.,2,-327.8807382583618,-317.25322818756104,1
66,Anne a accouché d'une fille le mois dernier. _ épanouie.,"Le mois dernier, Anne a donné naissance à une fille ; _ est épanouie.",Anne,la fille d'Anne,1,Anne a accouché d'une fille le mois dernier. Anne épanouie.,Anne a accouché d'une fille le mois dernier. la fille d'Anne épanouie.,1,-176.1670379638672,-219.67220783233643,1
67,Le chien courait après un chat qui a alors grimpé dans un arbre. _ est resté en bas toute la nuit.,"Poursuivi par le chien, le chat a grimpé dans un arbre, tandis que _ est resté en bas toute la nuit.",le chat,le chien,2,Le chien courait après un chat qui a alors grimpé dans un arbre. le chat est resté en bas toute la nuit.,Le chien courait après un chat qui a alors grimpé dans un arbre. le chien est resté en bas toute la nuit.,1,-280.9171371459961,-281.2105379104614,0
