id,sentence,option1,option2,answer,paraphrased_sentence
39,"Claire a frappé à la porte de Sylvie, mais _ n'a pas eu de réponse.",Claire,Sylvie,1,
40,Joël a payé le détective quand _ a reçu le rapport final sur l'affaire.,le détective,Joël,2,
41,Gérard a appelé le barman. _ a rendu sa pinte vide.,Le barman,Gérard,2,
42,Thomas a conduit Raphaël en voiture parce que _ n'aime pas conduire tout seul.,Raphaël,Thomas,2,
43,"Benoît a passé son assiette à moitié pleine à Jean, car _ n'avait pas faim.",Jean,Benoît,2,
44,Benoît a passé la gameboy à Jean. Car ce n'était pas le tour_.,de Benoît,de Jean,1,
45,Thierry ne voulait pas partager ses jouets avec Benoît. _ a pleuré.,Thierry,Benoît,2,
46,Le Dr. Vincenot a informé Michel qu'il avait _ et a évoqué avec lui son traitement à venir.,un cancer,pris sa retraite,1,
47,Claire a donné des bonbons à Jeanine parce que _ n'avait pas faim.,Jeanine,Claire,2,
48,Jérémy a demandé une faveur à Robert mais _ a essuyé un refus.,Jérémy,Robert,1,
49,Kirilov a cédé la présidence à Chatoff parce que _ était moins populaire.,Kirilov,Chatoff,1,
50,"Joël a vu son frère faire du ski à la télévision hier soir, mais _ ne l'a pas reconnu.",le frère de Joël,Joël,2,
51,"Les conseillers municipaux ont refusé une autorisation aux manifestants, car _ craignent la violence.",les conseillers municipaux,les manifestants,1,
52,"Alors qu'elles courent à la même vitesse, Sarah a battu Sabine car _ a réussi son départ.",Sarah,Sabine,1,
53,La sculpture est tombée de l'étagère car _ était trop lourde.,la sculpture,l'étagère,1,
54,Le dessin de Sam est accroché au dessus de celui de Tina. Les oeuvres mises en valeurs sont placées le plus haut possible. Le _ est mis en valeur.,le dessin de Sam,le dessin de Tina,1,
55,"François s'est fâché contre Thomas, car le grille-pain que _ lui a acheté ne marche pas.",François,Thomas,1,
56,Pierre envie Martin même si _ est bien plus brillant.,Pierre,Martin,1,
57,"Simon a expliqué sa théorie à Marc, mais _ ne l'a pas convaincu.",Marc,Simon,2,
58,Il y a du savon dans le siphon de douche. _ faut le retirer.,le siphon,le savon,2,
59,"Le rendez-vous n'a commencé qu'à 16:00 et mon train était à 16:30 donc j'étais pressé. Heureusement, _ a été de courte durée.",mon train,le rendez-vous,2,
60,La pluie a commencé à tomber au début d'une séance de yoga en plein air et _ a continué jusqu'à vingt-deux heures.,la séance,la pluie,2,
61,"J'ai pris un vieux chiffon pour nettoyer le couteau, ensuite j'ai mis _ au linge sale.",le couteau,le chiffon,2,
62,"Anne a demandé à Marie les horaires de fermeture de la bibliothèque, car _ les avait oubliés.",Marie,Anne,2,
63,"Je n'ai pas pu mettre la carafe sur l'étagère, parce que _ était trop lourde.",la carafe,l'étagère,1,
64,Pierre jouait aux cartes avec Adam qui menait au score. Si la chance d'Adam n'avait pas tourné _ aurait perdu.,Adam,Pierre,2,
65,Un chien s'était assis sur la pelouse mais il s'est rapidement déplacé sous un arbre parce qu'il faisait trop chaud _.,sous l'arbre,sur la pelouse,2,
66,Anne a accouché d'une fille le mois dernier. _ épanouie.,Anne,la fille d'Anne,1,
67,Le chien courait après un chat qui a alors grimpé dans un arbre. _ est resté en bas toute la nuit.,le chat,le chien,2,
68,Jean faisait son jogging dans le parc quand il a vu un homme jongler avec des pastèques. _ était très impressionné.,Jean,le jongleur,1,
69,Boris a fait un malaise sur le trottoir et Carlo s'est approché pour l'aider. _ était très faible.,Carlo,Boris,2,
70,Pierre et Marc sont poursuivis pour diffamation. Pierre a écrit dans leur livre plusieurs faux témoignages que Marc a colportés. _ aurait dû être plus honnête.,Pierre,Marc,1,
71,Marie a pris son violon pour jouer un de ses morceaux favoris. Il possède _ depuis son enfance.,le violon,le morceau,1,
72,"Sarah a emprunté un livre à la bibliothèque, elle en a besoin pour un article sur lequel elle travaille. Elle lira _ à la maison.",l'article,le livre,2,
73,"Esther pense qu'elle économisera sur les frais de port si elle installe son usine à Toulouse au lieu de Lille. En effet, beaucoup de ses clients habitent à _.",Lille,Toulouse,2,
74,Les scientifiques étudient trois espèces de poissons trouvées récemment dans l'océan indien. _ ont commencé il y a deux ans.,les scientifiques,les poissons,1,
75,Denis a dû empêcher Benoît de maltraiter l'oiseau blessé. _ est vraiment compatissant.,Denis,Benoît,1,
76,"Prise en tenaille par la défense, Emma n'a pas pu envoyer la balle à Jeanine parce qu'elle avait vu que _ était démarquée.",Jeanine,Emma,1,
77,"Le scooter a dépassé le bus scolaire, car _ roulait trop vite.",Le scooter,Le bus scolaire,1,
78,Marc a dit que son adversaire Frank méritait largement sa victoire. _ fut flatté.,Marc,Frank,2,
79,L'éponge de Paul va abîmer la carafe : _ est en fer.,la carafe,l'éponge,2,
80,Jean n'a pas pu voir la scène : Benoît était devant lui et _ est plus petit.,Benoît,Jean,2,
81,Anna a mieux réussi l'examen que son amie Lucy car _ avait beaucoup révisé.,Anna,Lucy,1,
82,Les pompiers sont arrivés avant les policiers alors que _ venaient de plus loin.,Les pompiers,Les policiers,1,
83,"Jérémy s'est emporté contre Kevin, car _ était très contrarié.",Kevin,Jérémy,2,
84,"Le sac de pommes de terre est au-dessus du sac de farine, donc il faudra déplacer _ en premier.",le sac de farine,le sac de pommes de terre,2,
85,J'ai étalé la nappe sur la table pour montrer _.,la table,la nappe,2,
86,Sylvie est au courant de tous les problèmes personnels de Marie car _ est curieuse.,Marie,Sylvie,2,
87,Sandrine a appris que le fils d'Anne avait eu un accident car _ l'a prévenue.,Anne,Sandrine,1,
88,"Le frère jumeau de Joël arrive toujours à le battre au tennis, même si _ a suivi deux ans de cours en moins.",le frère de Joël,Joël,1,
89,Le tableau dans le salon de Mark représente un arbre. _ est placé à droite de la bibliothèque.,le tableau,l'arbre,1,
90,J'ai sorti le portable de mon sac pour que _ soit plus accessible.,mon sac,le portable,2,
91,"Je suis sûre que ce monument est dans mon guide, _ est incontournable.",le guide,le monument,2,
92,La chatte attendait la souris à côté du trou. _ était très impatiente.,la chatte,la souris,1,
93,"J'ai mis la clé dans la serrure, mais elle était bouchée avec du chewing-gum, je n'ai pas pu extirper _.",la clé,la serrure,1,
94,Le braqueur est entré dans la banque et a poignardé un des guichetiers. _ a été condamné presque immédiatement.,le braqueur,le guichetier,1,
95,Samuel et Amélie sont passionnément amoureux mais les parents d'Amélie sont contre cette relation car _ sont jeunes.,Samuel et Amélie,les parents d'Amélie,1,
96,Les renards viennent la nuit dans la cour et attaquent les lapins. _ sont devenus téméraires.,les lapins,les renards,2,
97,Gabrielle est contente d'avoir échangé son pull contre mon gilet. Elle pense qu'e _ est très démodé.,le pull,le gilet,1,
98,Regarde! Il y a un requin qui nage juste en dessous de ce canard ! _ devrait vite se mettre à l'abri !,le requin,le canard,2,
99,J'ai lâché une aile de papillon sur la table et _ s'est cassée.,la table,l'aile de papillon,2,
