sentence,paraphrased_sentence,option1,option2,answer,gpt_category,gpt_category_names,in_original_experiment
The teen found the new hat was no substitute for his cool shirt.  The _ was just cool to wear to school.,"The teen found the new hat was no substitute for his cool shirt. It was just cool to wear to school, the _.",hat,shirt,2,2,['social'],1
Mary was helping Patricia's daughter put on makeup but  _ watches a lot of makeup tutorials.,"Mary was helping Patricia's daughter put on makeup, but the one who watches a lot of makeup tutorials is _.",Mary,Patricia,2,2,['social'],1
Mary was helping Patricia's daughter put on makeup because _ watches a lot of makeup tutorials.,"Mary was helping Patricia's daughter put on makeup, because the one who watches a lot of makeup tutorials is _.",Mary,Patricia,1,2,['social'],1
"He wanted to kill time at the house instead of the playground, because everyone at the _ was fun.","He wanted to kill time at the house instead of the playground, because everyone was fun at the _.",playground,house,2,2,['social'],1
"God liked to control the day and the night, but the _ was too bright.","God liked to control the day and the night, but it was too bright during the _.",day,night,1,"1, 4","['physical', 'temporal']",1
"Amy thought she was the mirror image of Natalie , but _ could not be convinced to see the similarity.","Amy thought she was the mirror image of Natalie, but the one who could not be convinced to see the similarity was _.",Amy,Natalie,2,2,['social'],0
"Amy thought she was the mirror image of Natalie , but _ could not persuade her to see the similarity.","Amy thought she was the mirror image of Natalie, but the person who could not persuade her to see the similarity was _.",Amy,Natalie,1,2,['social'],0
I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball because the _ was so casual.,"I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball, as it was so casual, the _.",woven necklace,ball,1,2,['social'],1
The sheet recovered can easily be hiding between the space in the door. The _ is thin.,The sheet recovered can easily be hiding between the space in the door because of how thin the _ is.,sheet,space,1,1,['physical'],1
The sheet recovered can easily be hiding between the space in the door. The _ is wide.,"Between the space in the door, the sheet recovered can easily be hiding because of how wide the _ is.",sheet,space,2,"1, 5","['physical', 'spatial']",1
Steven believes they can buy happiness but Craig thinks otherwise as _ is very realistic.,"Steven believes they can buy happiness but Craig thinks otherwise, as the very realistic one is _.",Steven,Craig,2,2,['social'],1
Steven believes they can buy happiness but Craig thinks otherwise as _ is very materialistic.,"Steven believes they can buy happiness but Craig thinks otherwise, as the one who is very materialistic is _.",Steven,Craig,1,2,['social'],1
Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the coach.,"Throughout the practice, Rachel pushed the limits of Megan to get ready for the game because the coach was _.",Rachel,Megan,1,2,['social'],1
"Brett was browsing the internet while he found the information unlike Randy, _ prefers using books.",Brett was browsing the internet while he found the information unlike Randy. The one who prefers using books is _.,Brett,Randy,2,2,['social'],1
Dennis knows that Jeffrey is an animal lover and _ knows he wants to go to the zoo to see them.,"Dennis knows that Jeffrey is an animal lover and he wants to go to the zoo to see them, which is known by _.",Dennis,Jeffrey,1,2,['social'],0
"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too small.","I picked up some leaves to put in the books and dry, but they didn't fit because of the small size of the _.",leaves,books,2,5,['spatial'],1
"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too massive.","I picked up some leaves to put in the books and dry, but they didn't fit because of the massive size of the _.",leaves,books,1,"1, 3, 2005","['numerical', 'physical', 'spatial']",1
The president had their speech at the auditorium rather than the park because the _ was bigger.,The president had their speech at the auditorium rather than the park because the bigger venue was the _.,auditorium,park,1,"3, 5","['numerical', 'spatial']",1
"When Steven found that their T-shirt had shrunk in the laundry, Robert's first reaction was to laugh, and _ then became angry.","When Steven found that their T-shirt had shrunk in the laundry, Robert's first reaction was to laugh. The one who then became angry was  _.",Steven,Robert,1,2,['social'],1
Rebecca thought Disney movies were the best thing to watch but Samantha like horror movies better. _ rented Saw from Redbox.,"Rebecca thought Disney movies were the best thing to watch but Samantha liked horror movies better, so from Redbox, Saw was rented by _.",Rebecca,Samantha,2,2,['social'],1
"Laura brought extensions to Monica at the salon, so that _ could treat their dreads professionally.","Laura brought extensions to Monica at the salon, so that professional treatment could be given to their dreads by _.",Laura,Monica,2,2,['social'],1
Samuel tried unsuccessfully to get Brett to skip school because _ was a truant that didn't follow the rules.,Samuel tried unsuccessfully to get Brett to skip school because the truant that didn't follow the rules was _.,Samuel,Brett,1,2,['social'],0
"The IRS sent Tim a letter informing him of the audit, which could occure at the house or the office.  Tim chose a comfortable setting of the _ .","The IRS sent Tim a letter informing him of the audit, which could occure at the house or the office.  Tim chose a comfortable setting of the _ .",office,house,2,"2, 5","['social', 'spatial']",1
My gun was inspected with a cloth to make sure it worked fine. The _ was soft.,My gun was inspected with a cloth to make sure it worked fine. The soft item was the _.,cloth,gun,1,1,['physical'],1
"The temperature in winter is much different than summer,  the _  is always lower.","The temperature in winter is much different than summer, with the lower season always being _.",summer,winter,2,"1, 4","['physical', 'temporal']",1
Rachel told Patricia to pick up some baby powder at the store but _ had sweaty feet too.,"Rachel told Patricia to pick up some baby powder at the store, but the one that also had sweaty feet was _.",Rachel,Patricia,2,2,['social'],1
I did not buy the color pink rose flowers  for my wedding because the _ is too bright.,"I did not buy the color pink rose flowers for my wedding because it is too bright, that _.",color,wedding,1,1,['physical'],1
"At the beach, Emily collected some seashells for her mother Maria. _ polished the seashells before giving them away.","At the beach, Emily collected some seashells for her mother Maria. Before giving them away, the seashells were polished by _.",Emily,Maria,1,2,['social'],1
"Victoria was eager to make the big sale to Sarah , as _ had the money that day.","Victoria was eager to make the big sale to Sarah, as the one who had the money that day was _.",Victoria,Sarah,2,2,['social'],1
"Robert took voice lessons from Randy, because _ was known to be on American Idol.",Robert took voice lessons from Randy because of the known appearance on American Idol of _.,Robert,Randy,2,2,['social'],1
Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a flat stomach.,"Whilst on the beach, Cynthia loved to wear a bikini but Laura did not, because of the flat stomach of _.",Cynthia,Laura,1,"1, 2","['physical', 'social']",1
"In high school Matthew was most popular among the teachers as were Steven was among the students, _ was liked by adolescents.","In high school, Matthew was most popular among the teachers, Steven was most popular among the students. The one liked by adolescents was _.",Matthew,Steven,2,2,['social'],1
Lawrence liked watching foreign movies with subtitles unlike Jason because _ criticized the original language of the film.,Lawrence liked watching foreign movies with subtitles unlike Jason because the original language of the film was criticized by _.,Lawrence,Jason,2,2,['social'],1
Lawrence liked watching foreign movies with subtitles unlike Jason because _ appreciated the original language of the film.,Lawrence liked watching foreign movies with subtitles unlike Jason because the original language of the film was appreciated by _.,Lawrence,Jason,1,2,['social'],1
"Victoria was still grieving the death of a friend more than Elena, because _ had a very close relationship with the friend.","Victoria was still grieving the death of a friend more than Elena, because the one who had a very close relationship with the friend was _.",Victoria,Elena,1,2,['social'],1
"Samantha strictly followed their diet while Sarah ate what they felt like, and _ ate chicken and broccoli all week.","Samantha strictly followed their diet while Sarah ate what they felt like, and all week, it was chicken and broccoli that _ ate.",Samantha,Sarah,1,2,['social'],1
It seemed more likely that Brett would wear a fedora rather than Justin because _ was known to dress stylishly.,It seemed more likely that Brett would wear a fedora rather than Justin because the one known to dress stylishly was _.,Brett,Justin,1,2,['social'],1
It seemed more likely that Brett would wear a fedora rather than Justin because _ did not often dress stylishly.,It seemed more likely that Brett would wear a fedora rather than Justin because the one who did not often dress stylishly was _.,Brett,Justin,2,2,['social'],1
My face was more familiar than it was at the bar than the gym because I went to the _ very rarely.,My face was more familiar at the bar than it was at the gym because I went very rarely to the _.,bar,gym,2,"3, 4","['numerical', 'temporal']",1
Emily said that Victoria's hijab was silly and old fashioned. _ heard some very offensive things.,Emily said that Victoria's hijab was silly and old fashioned. Some very offensive things were heard by _.,Emily,Victoria,2,2,['social'],1
Emily said that Victoria's hijab was silly and old fashioned. _ said some very offensive things.,Emily said that Victoria's hijab was silly and old fashioned. Some very offensive things were said by _.,Emily,Victoria,1,2,['social'],1
Ian needed to adjust the mirror and Craig did not because _ was shorter than the owner of the car.,Ian needed to adjust the mirror and Craig did not because the owner of the car was taller than _.,Ian,Craig,1,"3, 5","['numerical', 'spatial']",1
I was told my eyes are failing so I need to get glasses or contacts. I don't think I'll get the contacts since the _ seem less comfortable.,I was told my eyes are failing so I need to get glasses or contacts. I don't think I'll get the contacts since the ones that seem less comfortable are the _.,glasses,contacts,2,1,['physical'],1
The teenager got a job at the supermarket instead of at the diner because he had to work during school at the _ .,The teenager got a job at the supermarket instead of at the diner because he had to work during school at the _ .,supermarket,diner,2,"4, 5","['spatial', 'temporal']",1
I always wonder how people prefer reading in a library instead of at the house because the lack of people at the _ would make it easier to concentrate.,I always wonder how people prefer reading in a library instead of at the house because it would be easier to concentrate with the lack of people at the _.,library,house,2,"2, 5","['social', 'spatial']",1
I always wonder how people prefer reading in a library instead of at the house because the amount of people at the _ would make it hard to concentrate.,I always wonder how people prefer reading in a library instead of at the house because it would be hard to concentrate with the amount of people at the _.,library,house,1,"2, 3, 2005","['numerical', 'social', 'spatial']",1
The juice from the mango fruit could not fill up the cup because the _ is small.,The juice from the mango fruit could not fill up the cup because of how small the _ is.,mango,cup,1,"1, 3, 2005","['numerical', 'physical', 'spatial']",1
Bobby had to use his pen to finish the exam rather than the pencil because the _ was full of ink.,"Bobby had to use his pen to finish the exam rather than the pencil, since so much ink was in the _.",pen,pencil,1,1,['physical'],1
Erin showed Maria to use the fork and knife in a proper manner as _ attended etiquette school.,"Erin showed Maria to use the fork and knife in a proper manner, since the one who attended etiquette school was _.",Erin,Maria,1,2,['social'],1
Rebecca asked Kayla to turn the lights out but _ did not want to go to sleep.,"Rebecca asked Kayla to turn the lights out, but the one who did not want to go to sleep was _.",Rebecca,Kayla,2,2,['social'],1
Jason considers he and Benjamin to be friends so _ puts a lot of effort into their relationship.,"Jason considers he and Benjamin to be friends, so a lot of effort is put into their relationship by _.",Jason,Benjamin,1,2,['social'],1
Jason considers he and Benjamin to be friends even though _ puts little effort into their relationship.,Jason considers he and Benjamin to be friends even though little effort is put into their relationship by _.,Jason,Benjamin,2,2,['social'],1
"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already colorful.","Matt wanted to change either the plain bathroom or the colorful bedroom, but the one that was already colorful, was the _.",bedroom,bathroom,1,1,['physical'],1
"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already plain.","Matt wanted to change either the plain bathroom or the colorful bedroom, but the one that was already plain, was the _.",bedroom,bathroom,2,1,['physical'],1
The snow came down so much that Michael had to go plow Kevins driveway because _ agreed to take care of his neighbors.,The snow came down so much that Michael had to go plow Kevin's driveway because there was an agreement to take care of his driveway between his neighbors and _.,Michael,Kevin,1,2,['social'],1
The girl used the comb to try and brush her hair but the _ was too soft.,"The girl used the comb to brush her hair, though being too soft was still a problem for the _.",hair,comb,2,1,['physical'],1
Sarah rolls her eyes as Monica extolls the virtues of vinegar as a cleaning solution for everything since _ is bored.,"Sarah rolls her eyes as Monica extolls the virtues of vinegar as a cleaning solution for everything, since the one who is bored is _.",Sarah,Monica,1,2,['social'],1
Nelson always had the best friendships except with Neil since _ was always so polite.,Nelson always had the best friendships except with Neil because of the politeness of _.,Nelson,Neil,1,2,['social'],1
"Derrick really liked working in Human Resources and William wanted to work at the same company, and _ subsequently accepted a position.","Derrick really liked working in Human Resources and William wanted to work at the same company, and the position was subsequently accepted by _.",Derrick,William,2,"2, 4","['social', 'temporal']",1
The room at the hotel cost more to stay in than the room at the inn because the _ was nicer.,The room at the hotel cost more to stay in than the room at the inn because it was nicer at the _.,hotel,inn,1,2,['social'],1
He found it harder to write the letter than the e-mail because the _ had so few words.,He found it harder to write the letter than the e-mail because of how few words the _ had.,letter,e-mail,2,"2, 3","['numerical', 'social']",1
Carrie loves putting sugar in coffee as opposed to Laura because _ thinks the coffee tastes better.,"Carrie loves putting sugar in coffee as opposed to Laura because the coffee tastes better, or so _ thinks.",Carrie,Laura,1,2,['social'],1
"Ben had to drain both water and oil down the sink, but the _ was too viscous.","Ben had to drain both water and oil down the sink, but the one that turned out to be too viscous was the _.",oil,water,1,1,['physical'],1
"Ben had to drain both water and oil down the sink, but the _ was too fluid.","Ben had to drain both water and oil down the sink, but the one that turned out to be too fluid was the _.",oil,water,2,1,['physical'],1
John painted the pole red close to the color of the wall and painted the frame white and now the _ is similar.,"John painted the pole red close to the color of the wall and painted the frame white, making the similar one now the _.",frame,pole,2,1,['physical'],1
"Ian's hair is being worked on by Craig, so it's more likely _ is the customer.","Ian's hair is being worked on by Craig, so it's more likely that the customer is _.",Ian,Craig,1,2,['social'],1
Christine was watching makeup tutorials while Amy was not because _ wanted to forget how to put blush on correctly.,"Christine was watching makeup tutorials, while Amy was not, because the desire to forget how to put blush on correctly belonged to _.",Christine,Amy,2,2,['social'],1
Erin has a teenager whereas Patricia has toddler-age children because _ became a mother later.,Erin has a teenager whereas Patricia has toddler-age children because becoming a mother happened later for _.,Erin,Patricia,2,"3, 4","['numerical', 'temporal']",1
"Neil was a very popular kid in school unlike Jeffrey, because _ was very extroverted.","Neil was a very popular kid in school unlike Jeffrey, because of how extroverted _ was.",Neil,Jeffrey,1,2,['social'],1
The game on television was very important for Ian but not Dennis because _ was into music instead.,"The game on television was very important for Ian but not Dennis, because the one into music instead was _.",Ian,Dennis,2,2,['social'],1
"At their high school's homecoming dance, Natalie stayed on the floor for the slow dance while Maria got food during it, because _ had broken up with her significant other.","At their high school's homecoming dance, Natalie stayed on the floor for the slow dance while Maria got food during it, because the one that had broken up with her significant other was _.",Natalie,Maria,2,2,['social'],1
"At their high school's homecoming dance, Natalie stayed on the floor for the slow dance while Maria got food during it, because _ currently had a significant other.","At their high school's homecoming dance, Natalie stayed on the floor for the slow dance while Maria got food during it, because the one that currently had a significant other was _.",Natalie,Maria,1,2,['social'],1
"Adam always spent all of the free time watching Tv unlike Hunter who volunteered, due to _ being lazy.","Adam always spent all of the free time watching tv unlike Hunter who volunteered, due to how lazy _ was.",Adam,Hunter,1,2,['social'],1
Samantha had to use the potty while Felicia used the restroom because _ is a grownup.,Samantha had to use the potty while Felicia used the restroom because the grownup here is _.,Samantha,Felicia,2,2,['social'],1
"Refraining from drinking was easy for Kyle but not Eric, as _ never enjoyed the taste of alcohol.","Refraining from drinking was easy for Kyle but not Eric, as the taste of alcohol was never enjoyed by _.",Kyle,Eric,1,2,['social'],1
"Kenneth is accused of destroying drywall in Jeffrey's house, _ is leasing out the house.","Kenneth is accused of destroying drywall in Jeffrey's house, which is being leased out by _.",Kenneth,Jeffrey,2,2,['social'],1
John decided to grow a new breed of plant in his garden but the _ is big.,"John decided to grow a new breed of plant in his garden, but it turns out it’s quite big, the _.",garden,plant,2,"1, 5","['physical', 'spatial']",1
Angela loved to wear sun glasses but Jessica didn't. _ bought a fancy new pair of shoes.,Angela loved to wear sun glasses but Jessica didn't. A fancy new pair of shoes was bought by _.,Angela,Jessica,2,2,['social'],1
Mary goes around telling everyone that Christine is too clingy because _ likes  to be touched..,Mary goes around telling everyone that Christine is too clingy because the one who likes to be touched is _.,Mary,Christine,2,2,['social'],1
James walked into a ditch while trying to catch the ball thrown at him. The _ is farther.,"James walked into a ditch while trying to catch the ball thrown at him, with the farther object being the _.",ditch,ball,2,5,['spatial'],1
"Christopher tried to empty all the water from the tank in the yard because Michael had asked him to, but _ wasn't able to get it all out.","Christopher tried to empty all the water from the tank in the yard because Michael had asked him to, but getting it all out wasn't possible for _.",Christopher,Michael,1,2,['social'],1
The watch could not fit on the arm properly because it had been cut by a blade. The _ was short.,The watch could not fit on the arm properly because it had been cut by a blade. The short item was the _.,Watch,Blade,1,"1, 5","['physical', 'spatial']",0
"At Jan's home, she dusted the dresser more frequently than the fan, because the _ was easier to reach.","At Jan's home, she dusted the dresser more frequently than the fan, because it was easier to reach the _.",fan,dresser,2,5,['spatial'],1
"At Jan's home, she dusted the dresser more frequently than the fan, because the _ was more difficult to reach.","At Jan's home, she dusted the dresser more frequently than the fan, because it was more difficult to reach the _.",fan,dresser,1,5,['spatial'],1
"Michael made pickled eggs for Kenneth, but _ really loved his own and wanted to share them.","Michael made pickled eggs for Kenneth, but the person who really loved his own and wanted to share them was _.",Michael,Kenneth,2,2,['social'],1
The dog ran into the bedroom during the rainstorm while we stayed in the kitchen because the rain was softer in the _ .,The dog ran into the bedroom during the rainstorm while we stayed in the kitchen because the rain was softer in the _ .,kitchen,bedroom,2,5,['spatial'],1
He was late for the party but on time for the sleepover because the _ had just finished.,"He was late for the party but on time for the sleepover because it had just finished, the _.",party,sleepover,1,4,['temporal'],1
"Emily bought a piece of jewelry from Natalie, later _ thought she sold too low but kept a cool attitude.","Emily bought a piece of jewelry from Natalie, and the one who later thought she sold too low but kept a cool attitude was _.",Emily,Natalie,2,2,['social'],1
"Robert was simply not as stoic as Joel , as _ tended to handle things gracefully.","Robert was simply not as stoic as Joel, as things tended to be handled gracefully by _.",Robert,Joel,2,2,['social'],1
"My employer offers a bonus of either a phone or a television, but unfortunately the _ is just way too large to be useful.","My employer offers a bonus of either a phone or a television, but unfortunately, the item that is just way too large to be useful is the _.",phone,television,1,"1, 3","['numerical', 'physical']",1
"My employer offers a bonus of either a phone or a television, but unfortunately the _ is just way too small to be useful.","My employer offers a bonus of either a phone or a television, but unfortunately, the one that is just way too small to be useful is the _.",phone,television,2,"1, 3","['numerical', 'physical']",1
"At the dance, Adam asked the girl to dance before Donald, so _ is angry with himself.","Because Adam asked the girl at the dance to dance before Donald, the one who is angry with himself is _.",Adam,Donald,2,"2, 4","['social', 'temporal']",1
The bagel shop was closer to Michael than Joel because _ lived in a different area of town.,The bagel shop was closer to Michael than Joel because it was a different area of town where the home of _ was.,Michael,Joel,2,5,['spatial'],1
Fiction books were interesting and easy to read for  Logan but not Brett because _ enjoyed real tales.,Fiction books were interesting and easy to read for Logan but not Brett because real tales were what _ enjoyed.,Logan,Brett,2,2,['social'],1
No one would have noticed the spot on that skin because the _ is small.,No one would have noticed the spot on that skin because of how small the _ is.,spot,skin,1,1,['physical'],1
I couldn't figure out what my costume would be for Halloween Peter Pan or Snow White. The _ costume I'd have to wear a dress.,I couldn't figure out what my costume would be for Halloween: Peter Pan or Snow White. I'd have to wear a dress if I chose the costume of _.,Peter Pan,Snow White,2,1,['physical'],1
I couldn't figure out what my costume would be for Halloween Peter Pan or Snow White. The _ costume I'd have to make myself a boy.,I couldn't figure out what my costume would be for Halloween: Peter Pan or Snow White. I'd have to make myself a boy if I chose the costume of _.,Peter Pan,Snow White,1,2,['social'],1
James passport was kept inside the purse. He never knew the _ is that small.,James kept his passport inside the purse. He never knew about the small size of the _.,passport,purse,1,"1, 5","['physical', 'spatial']",1
James passport was kept inside the purse. He never knew the _ is that big.,James kept his passport inside the purse. He never knew about the big size of the _.,passport,purse,2,"1, 5","['physical', 'spatial']",1
"Of the two owners, Jessica was far worse than Jennifer, because _ like to treat the dogs.","Of the two owners, Jessica was far worse than Jennifer because the one who liked to treat the dogs was _.",Jessica,Jennifer,2,2,['social'],1
Tom recently was approved for botox therapy.  He had a choice between near the office or near his house and went with his weekday convenience of the _ .,Tom recently was approved for botox therapy.  He had a choice between near the office or near his house and went with his weekday convenience of the _ .,office,house,1,5,['spatial'],1
"Christopher was getting ready to wash Joel's hair,so _  got out shampoo by the sink and sat in the chair.","Christopher was getting ready to wash Joel's hair, so the one who got out shampoo by the sink and sat in the chair was _.",Christopher,Joel,2,2,['social'],1
Laura asked Rachel if she could borrow some clothes because _ loved her fashion sense.,Laura asked Rachel if she could borrow some clothes because her fashion sense was so admired by _.,Laura,Rachel,1,2,['social'],1
"When you buy food for your cat, choose dry instead of wet as the crunchy texture of the _ is better for their teeth.","When you buy food for your cat, choose dry instead of wet as the crunchy texture, which is better for their teeth, is that of the _.",dry,wet,1,1,['physical'],1
"Erin knew the perfect gift for the wedding  shower, but Samantha had to do some research, because _  was slightly acquainted with the bride.","Erin knew the perfect gift for the wedding shower, but Samantha had to do some research, because the bride was slightly acquainted with _.",Erin,Samantha,2,2,['social'],1
The gothic lolita style suited Victoria better than Sarah because _ looked the worst in frilly dresses.,The gothic lolita style suited Victoria better than Sarah because frilly dresses looked the worst on _.,Victoria,Sarah,2,2,['social'],1
"Samantha couldn't see any alternatives, but Emily could, because _ wasn't nearly as open minded.","Samantha couldn't see any alternatives, but Emily could, because of how much less open-minded _ was.",Samantha,Emily,1,2,['social'],1
"My mom didn't fit the shape into the painting, because the _ was too awkward.",The reason my mom didn't fit the shape into the painting was the awkward _.,shape,painting,1,"1, 5","['physical', 'spatial']",1
The shirts were straighter than the pants because the _ were hanging on the hanger.,The shirts were straighter than the pants because the ones hanging on the hanger were the _.,shirt,pants,1,"1, 5","['physical', 'spatial']",1
The shirts were straighter than the pants although the _ were hanging on the hanger.,The shirts were straighter than the pants although the ones that were hanging on the hanger were the _.,shirt,pants,2,"1, 5","['physical', 'spatial']",1
"The man thought lifting the rock, not the log, would give him a hernia because the _ was lighter.","The man thought lifting the rock, not the log, would give him a hernia, because the lighter choice was the _.",rock,log,2,"1, 3","['numerical', 'physical']",1
"We were making orange jack o lanterns and  bought candles to put in the oranges, the candles did not fit. The _ were too small.","We were making orange jack o' lanterns and bought candles to put in the oranges, but the candles did not fit because of the small size of the _.",candles,oranges,2,"1, 5","['physical', 'spatial']",1
"Natalie committed a bunch of good deeds in Samantha's name, because _ wanted all the credit.","Natalie committed a bunch of good deeds in Samantha's name, because the person who wanted all the credit was _.",Natalie,Samantha,2,2,['social'],1
"Natalie committed a bunch of good deeds in Samantha's name, because _ didn't want the credit.","Natalie committed a bunch of good deeds in Samantha's name, because the one who didn't want the credit was _.",Natalie,Samantha,1,2,['social'],1
She wanted to shop for more clothes and ultimately decided on the velvet dress instead of the denim jacket because the _ was more casual.,"She wanted to shop for more clothes and ultimately decided on the velvet dress instead of the denim jacket, because the more casual item was the _.",dress,jacket,2,1,['physical'],1
"Laura didn't buy anything at all for Betty's birthday, because _ forgot to mention it.","The person who forgot to mention it, and thus Laura didn't buy anything at all for Betty's birthday, was _.",Laura,Betty,2,2,['social'],1
"Joel plans to go to Latin America next year where Dennis is currently living, _ has never been to Latin America.",Joel plans to go to Latin America next year where Dennis is currently living; the one who has never been to Latin America is _.,Joel,Dennis,1,4,['temporal'],1
"The library always had more books than computers, most likely because the _ are smaller.","The library always had more books than computers, most likely because the smaller ones are the _.",books,computers,1,"1, 3, 2005","['numerical', 'physical', 'spatial']",1
"The library always had more books than computers, most likely because the _ are bigger.","The library always had more books than computers, most likely because the bigger ones are the _.",books,computers,2,"1, 3","['numerical', 'physical']",1
"Ben had to respect his toys and his books to ensure they last long. However, it was difficult to respect the _ because they were fun.","Ben had to respect his toys and his books to ensure they last long, but because they were fun, it was difficult to respect the _.",toys,books,1,2,['social'],1
"Although Angela was overall a nicer person than Natalie, _ often did practice humility very regularlly.","Although Angela was overall a nicer person than Natalie, the one who often did practice humility very regularly was _.",Angela,Natalie,2,2,['social'],1
Jay could comfort sad people better instead of happy people because the _ people weren't realistic.,Jay could comfort sad people better instead of happy people because the people that weren't realistic were the _.,sad,happy,2,2,['social'],1
"Eric often thought of his annoying habits, like hitting his pen on his desk, and asked Ryan if it bothered him; _ said he was sorry he had done it.","Eric often thought of his annoying habits, like hitting his pen on his desk, and asked Ryan if it bothered him; the one who said he was sorry he had done it was _.",Eric,Ryan,1,2,['social'],1
Tanya wanted poppies for her wedding flowers but Carrie said that was an odd choice. _ pointed out it was a wedding and tradition mattered.,"Tanya wanted poppies for her wedding flowers but Carrie said that was an odd choice because it was a wedding and tradition mattered, as was pointed out by _.",Tanya,Carrie,2,2,['social'],1
I got more use in the gym than at the playground because the _ had more things to do.,I got more use in the gym than at the playground because there were more things to do at the _.,gym,playground,1,"3, 5","['numerical', 'spatial']",1
"Marty needed some sport and dress shoes, but could only buy one pair. He went with the _ since he would be going to a wedding.","Marty needed some sport and dress shoes, but since he could only buy one pair and would be attending a wedding, he went with the _.",dress,sport,1,2,['social'],1
Pine trees were a big part of Erin s Christmas tree farm while Megan was jewish but helped _ celebrate anyhow.,"Pine trees were a big part of Erin's Christmas tree farm while Megan, who was Jewish, helped celebrate anyhow with _.",Erin,Megan,1,2,['social'],1
All the glaciers that fell from the top of the mountains were found at the bottom. The _ were large.,"From the top of the mountains, all the glaciers that fell were found at the bottom, and what were large were the _.",Glaciers,Mountains,1,5,['spatial'],1
"Derrick showed Jason how to cut the tiles for their kitchen, and _ was shown appreciation for their help.","Derrick showed Jason how to cut the tiles for their kitchen, and appreciation for their help was shown to _.",Derrick,Jason,1,2,['social'],1
"Derrick had been working on his script for years and refused to get any other job, much to Logan's dismay. _ was worried and upset.","Derrick had been working on his script for years and refused to get any other job, much to Logan's dismay, so the one worried and upset was _.",Derrick,Logan,2,2,['social'],1
"The company wanted to increase labor productivity with its new machinery and camera, but the _ had faulty screws.","The company wanted to increase labor productivity with its new machinery and camera, but the faulty screws were in the _.",machinery,camera,1,1,['physical'],1
