id,sentence,option1,option2,answer
75,Le chien courait après un chat qui a alors grimpé dans un arbre. Il est resté en bas toute la nuit.,le chien,le chat,
76,Jean faisait son jogging dans le parc quand il a vu un homme jongler avec des pastèques. Il était très impressionné .,Jean,le jongleur,
77,Boris a fait un malaise sur le trottoir et Carlo s'est approché pour l'aider. Il était très faible .,Boris,Carlo,
78,Pierre et Marc sont poursuivis pour diffamation. Pierre a écrit dans leur livre plusieurs faux témoignages que Marc a colportés. Il aurait dû être plus honnête .,Pierre,Marc,
79,Marie a pris son violon pour jouer un de ses morceaux favoris. Elle le possède depuis son enfance.,le violon,le morceau,
80,"Sarah a emprunté un livre à la bibliothèque, elle en a besoin pour un article sur lequel elle travaille. Elle le lira à la maison.",le livre,l'article,
82,"Esther pense qu'elle économisera sur les frais de port si elle installe son usine à Toulouse au lieu de Lille. En effet, beaucoup de ses clients y habitent.",Toulouse,Lille,
83,Les scientifiques étudient trois espèces de poissons trouvées récemment dans l'océan indien. Ils ont commencé il y a deux ans.,les scientifiques,les poissons,
84,"Thomas a dit ""échec"" à Raphaël et a déplacé son fou.",de Thomas,de Raphaël,
85,"Lilianne s'est adressée à Marie, brisant son silence .",de Liliane,de Marie,
86,Denis a dû empêcher Benoît de maltraiter l'oiseau blessé. Il est vraiment compatissant .,Denis,Benoît,
87,"Prise en tenaille par la défense, Emma n'a pas pu envoyer la balle à Jeanine alors qu'elle avait vu qu'elle était démarquée .",Emma,Jeanine,
88,"Le scooter a dépassé le bus scolaire, car il roulait trop vite .",Le scooter,Le bus scolaire,
89,"Frank fut flatté quand Marc, son adversaire, a dit qu'il méritait largement sa victoire.",Frank,Marc,
90,L'éponge de Paul va abîmer la carafe : elle est en fer .,l'éponge,la carafe,
91,Jean n'a pas pu voir la scène : Benoît était devant lui et il est plus petit .,Jean,Benoît,
92,Anna a mieux réussi l'examen que son amie Lucy car elle avait beaucoup révisé.,Anna,Lucy,
93,Les pompiers sont arrivés avant les policiers alors qu'ils venaient de plus loin.,Les pompiers,Les policiers,
94,"Jérémy s'est emporté contre Kevin, car il était très contrarié.",Jérémy,Kevin,
95,"Le sac de pommes de terre est au-dessus du sac de farine, donc il faudra le déplacer en premier.",le sac de pommes de terre,le sac de farine,
96,J'ai étalé la nappe sur la table pour la montrer .,la nappe,la table,
97,Sylvie est au courant de tous les problèmes personnels de Marie car elle est curieuse .,Sylvie,Marie,
98,Sandrine a appris que le fils d'Anne avait eu un accident donc elle l'a prévenue.,Sandrine,Anne,
99,"Le frère jumeau de Joël arrive toujours à le battre au tennis, même s'il a suivi deux ans de cours en moins .",le frère de Joël,Joël,
100,Le tableau dans le salon de Mark représente un arbre. Il est placé à droite de la bibliothèque .,le tableau,l'arbre,
101,J'ai sorti le portable de mon sac pour qu'il soit plus accessible .,le portable,mon sac,
102,"Je suis sûre que ce monument est dans mon guide, il est incontournable .",le monument,le guide,
103,La chatte attendait la souris à côté du trou. Elle était très impatiente .,la chatte,la souris,
104,"J'ai mis la clé dans la serrure, mais elle était bouchée avec du chewing-gum, je n'ai pas pu l' extirper .",la clé,la serrure,
105,Le braqueur est entré dans la banque et a poignardé un des guichetiers. Il a été condamné presque immédiatement.,le braqueur,le guichetier,
106,Samuel et Amélie sont passionnément amoureux mais les parents d'Amélie sont contre cette relation car ils sont jeunes .,Samuel et Amélie,les parents d'Amélie,
107,Les renards viennent la nuit dans la cour et attaquent les lapins. Ils sont devenus téméraires .,les renards,les lapins,
108,Gabrielle est contente d'avoir échangé son pull contre mon gilet. Elle pense qu'il est très démodé .,le pull,le gilet,
28,Regarde! Il y a un têtard qui nage juste en dessous de ce canard ! Il devrait vite se mettre à l'abri !,,,
57,J'ai lâché une aile de papillon sur la table et elle s'est cassée.,,,
